species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Abrostolatripartita,Lepidoptera,94.0,140.3,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957, Mir-12, Mir-153, Mir-1993, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",118,176.12,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-193, Mir-22, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Acanthasterplanci,Lepidoptera,29.0,43.28,"Mir-190, Mir-216, Mir-281, Mir-315",39,58.21,"Mir-2002, Mir-2004, Mir-2005, Mir-2006, Mir-2007, Mir-2009, Mir-2010, Mir-2011, Mir-2012, Mir-22"
Acanthopagruslatus,Lepidoptera,99.0,147.76,"Mir-1329, Mir-242, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-76, Mir-875",105,156.72,"Mir-147, Mir-2001, Mir-32, Mir-71, Mir-7132, Mir-729"
Accipitergentilis,Lepidoptera,106.0,158.21,"Mir-150, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-76",113,168.66,"Mir-1416, Mir-1467, Mir-1720, Mir-1781, Mir-1805, Mir-2984, Mir-727"
Acentriaephemerella,Lepidoptera,98.0,146.27,"Mir-12, Mir-219, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-36",123,183.58,"Mir-1000, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-970, Mir-988, Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-929, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Acipenserruthenus,Lepidoptera,83.0,123.88,"Mir-150, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-71, Mir-76",89,132.84,"Mir-1329, Mir-191, Mir-2001, Mir-281, Mir-4541, Mir-725"
Aclerisemargana,Lepidoptera,93.0,138.81,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",122,182.09,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-36, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988"
Aclerissparsana,Lepidoptera,99.0,147.76,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",119,177.61,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-932, Mir-970"
Acomyscahirinus,Lepidoptera,162.0,241.79,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-187, Mir-1962, Mir-197, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-351, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-6529, Mir-7180, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885, Mir-9851",194,289.55,"Mir-1271, Mir-1277, Mir-1329, Mir-186, Mir-1911, Mir-1955, Mir-224, Mir-2355, Mir-3075, Mir-3099, Mir-3112, Mir-330, Mir-345, Mir-383, Mir-432, Mir-504, Mir-540, Mir-542, Mir-590, Mir-628, Mir-667, Mir-674, Mir-676, Mir-700, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-769, Mir-872, Mir-876, Mir-877"
Acomysdimidiatus,Lepidoptera,163.0,243.28,"Mir-1296, Mir-1301, Mir-1307, Mir-1379, Mir-1388, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-1962, Mir-2001, Mir-2114, Mir-2184, Mir-2188, Mir-2387, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-351, Mir-3613, Mir-4057, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-541, Mir-6529, Mir-7180, Mir-726, Mir-727, Mir-737, Mir-76, Mir-885, Mir-9851",196,292.54,"Mir-1271, Mir-1277, Mir-1329, Mir-186, Mir-1911, Mir-1955, Mir-197, Mir-224, Mir-2355, Mir-3075, Mir-3099, Mir-3112, Mir-330, Mir-345, Mir-383, Mir-432, Mir-504, Mir-540, Mir-542, Mir-590, Mir-628, Mir-667, Mir-674, Mir-676, Mir-700, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-769, Mir-872, Mir-876, Mir-877"
Acrobasissuavella,Lepidoptera,94.0,140.3,"Mir-10, Mir-12, Mir-242, Mir-3049, Mir-957, Mir-12, Mir-242, Mir-3049, Mir-957",125,186.57,"Iab-4, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-282, Mir-29, Mir-315, Mir-76, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-275, Mir-2765, Mir-76, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Acromyrmexechinatior,Lepidoptera,44.0,65.67,"Mir-1993, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-970, Mir-989",57,85.07,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Acronictaaceris,Lepidoptera,90.0,134.33,"Mir-12, Mir-3049, Mir-315, Mir-375, Mir-12, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",123,183.58,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-276, Mir-2765, Mir-306, Mir-71, Mir-92, Mir-932, Mir-970, Mir-988, Mir-999"
Acroporamillepora,Lepidoptera,1.0,1.49,,3,4.48,"Mir-2022, Mir-2030"
Acyrthosiphonpisum,Lepidoptera,30.0,44.78,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-3, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",46,68.66,"Iab-4, Mir-1, Mir-14, Mir-193, Mir-210, Mir-219, Mir-275, Mir-277, Mir-2796, Mir-3049, Mir-316, Mir-317, Mir-76, Mir-929, Mir-965, Mir-971"
Adaliabipunctata,Lepidoptera,82.0,122.39,"Iab-4, Mir-12, Mir-1993, Mir-2001, Mir-216, Mir-242, Mir-278, Mir-281, Mir-306, Mir-315, Mir-36, Mir-67, Mir-750, Mir-929, Mir-965, Mir-12, Mir-2001, Mir-242, Mir-278, Mir-36",108,161.19,"Mir-1, Mir-1175, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-316, Mir-927, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Aethinatumida,Lepidoptera,76.0,113.43,"Mir-124, Mir-137, Mir-153, Mir-184, Mir-190, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-277, Mir-278, Mir-281, Mir-282, Mir-3, Mir-3049, Mir-306, Mir-31, Mir-315, Mir-317, Mir-34, Mir-36, Mir-375, Mir-67, Mir-7, Mir-71, Mir-750, Mir-87, Mir-92, Mir-932, Mir-965, Mir-153, Mir-1993, Mir-242, Mir-278, Mir-3, Mir-306, Mir-36, Mir-750",89,132.84,"Mir-22, Mir-275, Mir-316, Mir-970, Mir-989, Mir-2001, Mir-22, Mir-275, Mir-3049, Mir-316, Mir-965, Mir-970, Mir-989"
Agonopterixsubpropinquella,Lepidoptera,94.0,140.3,"Mir-12, Mir-242, Mir-3049, Mir-36, Mir-999, Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",123,183.58,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-92, Mir-932, Mir-957, Mir-970, Mir-971"
Agrilusplanipennis,Lepidoptera,50.0,74.63,"Mir-153, Mir-2001, Mir-22, Mir-242, Mir-278, Mir-3049, Mir-306",57,85.07,"Mir-1993, Mir-275, Mir-316, Mir-36, Mir-965, Mir-970, Mir-989"
Agriopisaurantiaria,Lepidoptera,95.0,141.79,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-957, Mir-999, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",119,177.61,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970"
Agriopismarginaria,Lepidoptera,96.0,143.28,"Mir-12, Mir-153, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",120,179.1,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-999"
Agrioteslineatus,Lepidoptera,49.0,73.13,"Mir-2001, Mir-22, Mir-242, Mir-2765, Mir-278, Mir-3049, Mir-306, Mir-315",56,83.58,"Mir-14, Mir-153, Mir-275, Mir-277, Mir-932, Mir-970, Mir-989"
Agriphilageniculea,Lepidoptera,190.0,283.58,"Mir-12, Mir-3049, Mir-36, Mir-957, Mir-12, Mir-242, Mir-3049, Mir-36, Mir-957, Mir-1000, Mir-12, Mir-3049, Mir-315, Mir-36, Mir-12, Mir-3049, Mir-315",251,374.63,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-2796, Mir-306, Mir-315, Mir-932, Mir-970, Mir-971, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-315, Mir-932, Mir-970, Mir-971, Mir-988, Mir-999, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-34, Mir-71, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999, Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999"
Agriphilatristella,Lepidoptera,97.0,144.78,"Mir-3049, Mir-315, Mir-36, Mir-999, Mir-12, Mir-3049, Mir-315, Mir-36, Mir-999",125,186.57,"Mir-1000, Mir-12, Mir-153, Mir-1993, Mir-216, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970, Mir-1000, Mir-153, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970"
Agrocholacircellaris,Lepidoptera,95.0,141.79,"Mir-3049, Mir-3049, Mir-315, Mir-957",130,194.03,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-36, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-12, Mir-14, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agrocholamacilenta,Lepidoptera,93.0,138.81,"Mir-12, Mir-3049, Mir-375, Mir-957, Mir-3049, Mir-375, Mir-957",127,189.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-965, Mir-970, Mir-988, Mir-999"
Agrotisputa,Lepidoptera,92.0,137.31,"Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-999, Mir-12, Mir-219, Mir-3049, Mir-315, Mir-36, Mir-375",121,180.6,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-932, Mir-957, Mir-965, Mir-970, Mir-988, Mir-999"
Agrypnusmurinus,Lepidoptera,91.0,135.82,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-278, Mir-3049, Mir-36, Mir-12, Mir-14, Mir-2001, Mir-210, Mir-216, Mir-242, Mir-275, Mir-278, Mir-3049, Mir-315, Mir-971, Mir-989",109,162.69,"Mir-275, Mir-2765, Mir-306, Mir-316, Mir-965, Mir-970, Mir-989, Mir-153, Mir-1993, Mir-276, Mir-2765, Mir-305, Mir-306, Mir-316, Mir-36, Mir-76, Mir-965, Mir-970"
Ailuropodamelanoleuca,Lepidoptera,173.0,258.21,"Mir-1329, Mir-1397, Mir-1662, Mir-1788, Mir-2001, Mir-203, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-337, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-598, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-935",189,282.09,"Mir-1379, Mir-1416, Mir-147, Mir-1805, Mir-2114, Mir-224, Mir-2355, Mir-448, Mir-452, Mir-458, Mir-671, Mir-672, Mir-675, Mir-7180, Mir-722, Mir-877"
Allophyesoxyacanthae,Lepidoptera,93.0,138.81,"Mir-12, Mir-3049, Mir-315, Mir-36, Mir-12, Mir-3049, Mir-315, Mir-957",126,188.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-375, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Alosasapidissima,Lepidoptera,91.0,135.82,"Mir-1329, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-71, Mir-7147, Mir-76",105,156.72,"Mir-147, Mir-191, Mir-2001, Mir-2188, Mir-242, Mir-32, Mir-425, Mir-4541, Mir-7132, Mir-7133, Mir-725, Mir-728, Mir-729, Mir-875"
Alouattapalliata,Lepidoptera,169.0,252.24,"Mir-1388, Mir-1397, Mir-1662, Mir-1788, Mir-1805, Mir-1842, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-2483, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-350, Mir-4057, Mir-456, Mir-458, Mir-460, Mir-71, Mir-7147, Mir-726, Mir-727, Mir-76",193,288.06,"Mir-1271, Mir-1329, Mir-1343, Mir-1379, Mir-1416, Mir-1911, Mir-1912, Mir-2387, Mir-325, Mir-345, Mir-361, Mir-384, Mir-4541, Mir-511, Mir-541, Mir-590, Mir-653, Mir-672, Mir-722, Mir-725, Mir-737, Mir-770, Mir-885, Mir-9851"
Amblyrajaradiata,Lepidoptera,78.0,116.42,"Mir-1329, Mir-139, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-315, Mir-375, Mir-4057, Mir-459, Mir-76",86,128.36,"Mir-147, Mir-1788, Mir-425, Mir-4541, Mir-456, Mir-71, Mir-725, Mir-875"
Amblytelesarmatorius,Lepidoptera,42.0,62.69,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-2796, Mir-306, Mir-36, Mir-970, Mir-989",55,82.09,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-2765, Mir-3, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965, Mir-971"
Ameiurusmelas,Lepidoptera,89.0,132.84,"Mir-1329, Mir-147, Mir-2001, Mir-208, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-726, Mir-729, Mir-76, Mir-875",101,150.75,"Mir-143, Mir-191, Mir-2184, Mir-242, Mir-281, Mir-4541, Mir-551, Mir-71, Mir-7132, Mir-7133, Mir-728, Mir-734"
Amphibalanusamphitrite,Lepidoptera,36.0,53.73,"Mir-12, Mir-1993, Mir-277, Mir-3, Mir-316, Mir-36",47,70.15,"Iab-4, Mir-1, Mir-1175, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-29, Mir-965"
Amphimedonqueenslandica,Lepidoptera,6.0,8.96,,6,8.96,
Amphiprionocellaris,Lepidoptera,97.0,144.78,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-32, Mir-4541, Mir-76, Mir-875",103,153.73,"Mir-147, Mir-202, Mir-4057, Mir-425, Mir-71, Mir-729"
Amphipyraberbera,Lepidoptera,139.0,207.46,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957, Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",180,268.66,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Amphipyratragopoginis,Lepidoptera,96.0,143.28,"Mir-219, Mir-242, Mir-3049, Mir-315, Mir-999, Mir-219, Mir-3049, Mir-999",126,188.06,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-957, Mir-970, Mir-988, Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-932, Mir-957, Mir-970, Mir-988"
Amyeloistransitella,Lepidoptera,46.0,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-76, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988"
Anabastestudineus,Lepidoptera,297.0,443.28,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875, Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875, Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875",309,461.19,"Mir-147, Mir-281, Mir-4057, Mir-4541, Mir-147, Mir-281, Mir-4057, Mir-4541, Mir-147, Mir-281, Mir-4057, Mir-4541"
Anablepsanableps,Lepidoptera,96.0,143.28,"Mir-1329, Mir-2001, Mir-242, Mir-278, Mir-281, Mir-32, Mir-4057, Mir-459, Mir-76",105,156.72,"Mir-147, Mir-315, Mir-425, Mir-4541, Mir-71, Mir-7132, Mir-728, Mir-729, Mir-875"
Anasplatyrhynchos,Lepidoptera,301.0,449.25,"Mir-150, Mir-1720, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-875, Mir-150, Mir-1720, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-875, Mir-139, Mir-150, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-875",317,473.13,"Mir-1467, Mir-2184, Mir-4541, Mir-737, Mir-96, Mir-1467, Mir-2184, Mir-2984, Mir-4541, Mir-96, Mir-1467, Mir-1720, Mir-2184, Mir-2984, Mir-4541, Mir-737"
Anaszonorhyncha,Lepidoptera,102.0,152.24,"Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-76, Mir-875",109,162.69,"Mir-1467, Mir-1720, Mir-2184, Mir-2984, Mir-4541, Mir-726, Mir-737"
Ancistrocerusnigricornis,Lepidoptera,79.0,117.91,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-22, Mir-242, Mir-252, Mir-36, Mir-87, Mir-929, Mir-970",109,162.69,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971, Mir-989, Mir-1000, Mir-124, Mir-14, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-932, Mir-965, Mir-971, Mir-989"
Andrenadorsata,Lepidoptera,84.0,125.37,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-970, Mir-153, Mir-190, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-31, Mir-315, Mir-36, Mir-87, Mir-970, Mir-971, Mir-989",108,161.19,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989, Mir-1000, Mir-14, Mir-2001, Mir-210, Mir-2765, Mir-278, Mir-2796, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965"
Andrenahaemorrhoa,Lepidoptera,88.0,131.34,"Mir-1175, Mir-124, Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-306, Mir-36, Mir-750, Mir-8, Mir-970, Mir-153, Mir-1993, Mir-242, Mir-306, Mir-36, Mir-970",111,165.67,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Andrenahattorfiana,Lepidoptera,45.0,67.16,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-970",57,85.07,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Andrenaminutula,Lepidoptera,77.0,114.93,"Mir-1000, Mir-1175, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-276, Mir-277, Mir-278, Mir-3049, Mir-306, Mir-31, Mir-317, Mir-34, Mir-36, Mir-750, Mir-970, Mir-971, Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970",103,153.73,"Iab-4, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-316, Mir-71, Mir-929, Mir-932, Mir-965, Mir-989, Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Anneissiajaponica,Lepidoptera,26.0,38.81,"Mir-190, Mir-281, Mir-315",36,53.73,"Mir-103, Mir-2006, Mir-2007, Mir-2008, Mir-2009, Mir-2011, Mir-2012, Mir-22, Mir-242, Mir-76"
Anoliscarolinensis,Lepidoptera,94.0,140.3,"Mir-1416, Mir-144, Mir-184, Mir-2001, Mir-2184, Mir-22, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-459, Mir-599, Mir-722, Mir-7463, Mir-76, Mir-96",101,150.75,"Mir-132, Mir-4057, Mir-451, Mir-4541, Mir-71, Mir-7147, Mir-725"
Anophelesaquasalis,Lepidoptera,45.0,67.16,"Mir-153, Mir-1993, Mir-2001, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-750",59,88.06,"Bantam, Mir-14, Mir-216, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-989, Mir-999"
Anophelesatroparvus,Lepidoptera,43.0,64.18,"Mir-153, Mir-1993, Mir-2001, Mir-242, Mir-3049, Mir-36, Mir-750",60,89.55,"Bantam, Mir-14, Mir-216, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-317, Mir-87, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-989, Mir-999"
Anophelesbellator,Lepidoptera,43.0,64.18,"Mir-153, Mir-1993, Mir-2001, Mir-22, Mir-242, Mir-277, Mir-3049, Mir-33, Mir-36, Mir-750",57,85.07,"Bantam, Mir-14, Mir-216, Mir-2765, Mir-2796, Mir-306, Mir-316, Mir-932, Mir-957, Mir-965, Mir-970, Mir-971, Mir-989, Mir-999"
