species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Marmotamonax,Lepidoptera,174.0,259.7,"Mir-1307, Mir-1397, Mir-1416, Mir-1662, Mir-1805, Mir-1912, Mir-2001, Mir-2184, Mir-2188, Mir-224, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-4057, Mir-4541, Mir-456, Mir-460, Mir-675, Mir-71, Mir-7147, Mir-725, Mir-726, Mir-727, Mir-873",193,288.06,"Mir-1329, Mir-1788, Mir-1842, Mir-1911, Mir-197, Mir-2114, Mir-2483, Mir-337, Mir-452, Mir-458, Mir-483, Mir-592, Mir-598, Mir-672, Mir-722, Mir-737, Mir-76, Mir-770, Mir-877"
Marteszibellina,Lepidoptera,168.0,250.75,"Mir-1329, Mir-1379, Mir-1397, Mir-1416, Mir-1662, Mir-1788, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-252, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-345, Mir-4057, Mir-456, Mir-598, Mir-675, Mir-71, Mir-7147, Mir-726, Mir-76",193,288.06,"Mir-1251, Mir-1296, Mir-147, Mir-1805, Mir-2114, Mir-224, Mir-2355, Mir-330, Mir-337, Mir-448, Mir-452, Mir-4541, Mir-458, Mir-460, Mir-541, Mir-590, Mir-671, Mir-6715, Mir-672, Mir-7180, Mir-722, Mir-725, Mir-727, Mir-737, Mir-877"
Mastacembelusarmatus,Lepidoptera,196.0,292.54,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-7147, Mir-729, Mir-76, Mir-875, Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-7147, Mir-729, Mir-76, Mir-875",206,307.46,"Mir-147, Mir-32, Mir-4057, Mir-4541, Mir-71, Mir-147, Mir-32, Mir-4057, Mir-4541, Mir-71"
Megachilerotundata,Lepidoptera,45.0,67.16,"Mir-153, Mir-1993, Mir-242, Mir-36, Mir-970, Mir-989",58,86.57,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971"
Megadermalyra,Lepidoptera,159.0,237.31,"Mir-1416, Mir-1662, Mir-1788, Mir-1805, Mir-2001, Mir-2184, Mir-2188, Mir-242, Mir-278, Mir-281, Mir-2970, Mir-315, Mir-370, Mir-4057, Mir-452, Mir-4541, Mir-456, Mir-458, Mir-460, Mir-598, Mir-675, Mir-676, Mir-71, Mir-7147, Mir-7180, Mir-722, Mir-726, Mir-737, Mir-76",188,280.6,"Mir-1329, Mir-134, Mir-1343, Mir-1379, Mir-1397, Mir-1842, Mir-1911, Mir-197, Mir-2114, Mir-224, Mir-2355, Mir-2483, Mir-325, Mir-337, Mir-384, Mir-448, Mir-504, Mir-592, Mir-652, Mir-6529, Mir-653, Mir-671, Mir-672, Mir-725, Mir-727, Mir-760, Mir-873, Mir-877, Mir-9851"
Megalopscyprinoides,Lepidoptera,94.0,140.3,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-4057, Mir-71, Mir-76, Mir-875",100,149.25,"Mir-147, Mir-191, Mir-281, Mir-4541, Mir-729, Mir-734"
Meganolaalbula,Lepidoptera,92.0,137.31,"Mir-12, Mir-124, Mir-219, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-12, Mir-242, Mir-3049, Mir-315, Mir-999",122,182.09,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-275, Mir-2765, Mir-3, Mir-306, Mir-375, Mir-932, Mir-957, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-375, Mir-932, Mir-957, Mir-988"
Melanargiagalathea,Lepidoptera,95.0,141.79,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",118,176.12,"Mir-1000, Mir-14, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-71, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999, Mir-1000, Mir-14, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-988"
Melanostomamellinum,Lepidoptera,151.0,225.37,"Mir-153, Mir-1993, Mir-2765, Mir-2796, Mir-3049, Mir-71, Mir-750, Mir-1175, Mir-1993, Mir-242, Mir-2765, Mir-2796, Mir-3049, Mir-750, Mir-929, Mir-153, Mir-1993, Mir-2765, Mir-2796, Mir-3049, Mir-71, Mir-750",179,267.16,"Mir-2001, Mir-242, Mir-275, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999, Mir-153, Mir-2001, Mir-275, Mir-71, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999, Mir-2001, Mir-242, Mir-275, Mir-87, Mir-932, Mir-957, Mir-970, Mir-971, Mir-999"
Meleagrisgallopavo,Lepidoptera,205.0,305.97,"Mir-129, Mir-132, Mir-150, Mir-208, Mir-2184, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-4541, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-139, Mir-150, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76",217,323.88,"Mir-1397, Mir-1467, Mir-2001, Mir-2954, Mir-2984, Mir-875, Mir-1397, Mir-1467, Mir-2001, Mir-2984, Mir-4541, Mir-875"
