species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Acromyrmexechinatior,Endopterygota,44,68.75,"Mir-1993, Mir-22, Mir-242, Mir-3049, Mir-36, Mir-970, Mir-989",57,89.06,"Mir-1000, Mir-14, Mir-153, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965"
Acronictaaceris,Lepidoptera,46,68.66,"Mir-12, Mir-3049, Mir-315, Mir-375",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-957, Mir-970, Mir-988, Mir-999"
Acronictaaceris,Lepidoptera,44,65.67,"Mir-12, Mir-14, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-276, Mir-2765, Mir-306, Mir-71, Mir-92, Mir-932, Mir-970, Mir-988, Mir-999"
Acroporamillepora,Cnidaria,1,33.33,,3,100.0,"Mir-2022, Mir-2030"
species,Cnidaria,1.0,33.33,,1,33.33,
species,Cnidaria,1.0,33.33,,1,33.33,
Acyrthosiphonpisum,Neoptera,30,48.39,"Mir-12, Mir-133, Mir-153, Mir-1993, Mir-2001, Mir-216, Mir-22, Mir-242, Mir-2765, Mir-282, Mir-3, Mir-306, Mir-31, Mir-33, Mir-36, Mir-932",46,74.19,"Iab-4, Mir-1, Mir-14, Mir-193, Mir-210, Mir-219, Mir-275, Mir-277, Mir-2796, Mir-3049, Mir-316, Mir-317, Mir-76, Mir-929, Mir-965, Mir-971"
Adaliabipunctata,Endopterygota,36,56.25,"Iab-4, Mir-12, Mir-1993, Mir-2001, Mir-216, Mir-242, Mir-278, Mir-281, Mir-306, Mir-315, Mir-36, Mir-67, Mir-750, Mir-929, Mir-965",49,76.56,"Mir-1, Mir-1175, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-316, Mir-927, Mir-970, Mir-989"
Adaliabipunctata,Endopterygota,46,71.88,"Mir-12, Mir-2001, Mir-242, Mir-278, Mir-36",59,92.19,"Mir-153, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-750, Mir-965, Mir-970, Mir-989"
Aethinatumida,Endopterygota,28,43.75,"Mir-124, Mir-137, Mir-153, Mir-184, Mir-190, Mir-193, Mir-1993, Mir-2001, Mir-219, Mir-242, Mir-277, Mir-278, Mir-281, Mir-282, Mir-3, Mir-3049, Mir-306, Mir-31, Mir-315, Mir-317, Mir-34, Mir-36, Mir-375, Mir-67, Mir-7, Mir-71, Mir-750, Mir-87, Mir-92, Mir-932, Mir-965",33,51.56,"Mir-22, Mir-275, Mir-316, Mir-970, Mir-989"
Aethinatumida,Endopterygota,48,75.0,"Mir-153, Mir-1993, Mir-242, Mir-278, Mir-3, Mir-306, Mir-36, Mir-750",56,87.5,"Mir-2001, Mir-22, Mir-275, Mir-3049, Mir-316, Mir-965, Mir-970, Mir-989"
Agonopterixsubpropinquella,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-36, Mir-999",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-315, Mir-932, Mir-957, Mir-970, Mir-971, Mir-988"
Agonopterixsubpropinquella,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-999",61,91.04,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-2765, Mir-306, Mir-92, Mir-932, Mir-957, Mir-970, Mir-971"
Agrilusplanipennis,Endopterygota,50,78.12,"Mir-153, Mir-2001, Mir-22, Mir-242, Mir-278, Mir-3049, Mir-306",57,89.06,"Mir-1993, Mir-275, Mir-316, Mir-36, Mir-965, Mir-970, Mir-989"
Agriopisaurantiaria,Lepidoptera,48,71.64,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970"
Agriopisaurantiaria,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-929, Mir-932, Mir-970"
Agriopismarginaria,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-3049, Mir-315, Mir-36, Mir-957, Mir-999",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970"
Agriopismarginaria,Lepidoptera,48,71.64,"Mir-12, Mir-153, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-970, Mir-999"
Agrioteslineatus,Endopterygota,49,76.56,"Mir-2001, Mir-22, Mir-242, Mir-2765, Mir-278, Mir-3049, Mir-306, Mir-315",56,87.5,"Mir-14, Mir-153, Mir-275, Mir-277, Mir-932, Mir-970, Mir-989"
Agriphilageniculea,Lepidoptera,46,68.66,"Mir-12, Mir-3049, Mir-36, Mir-957",63,94.03,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-2796, Mir-306, Mir-315, Mir-932, Mir-970, Mir-971, Mir-988, Mir-999"
Agriphilageniculea,Lepidoptera,47,70.15,"Mir-12, Mir-242, Mir-3049, Mir-36, Mir-957",62,92.54,"Mir-1000, Mir-14, Mir-153, Mir-193, Mir-219, Mir-22, Mir-2765, Mir-2796, Mir-306, Mir-315, Mir-932, Mir-970, Mir-971, Mir-988, Mir-999"
Agriphilageniculea,Lepidoptera,46,68.66,"Mir-1000, Mir-12, Mir-3049, Mir-315, Mir-36",62,92.54,"Mir-14, Mir-153, Mir-193, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-34, Mir-71, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999"
Agriphilageniculea,Lepidoptera,51,76.12,"Mir-12, Mir-3049, Mir-315",64,95.52,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-242, Mir-2765, Mir-316, Mir-929, Mir-932, Mir-957, Mir-970, Mir-999"
